,ship to country,Revenue,Lat,Lng
0,Algeria,160308,28.033886,1.659626
1,Argentina,787046,-38.416097,-63.61667199999999
2,Australia,516557,-25.274398,133.775136
3,Bangladesh,2307584,23.684994,90.356331
4,Benin,82929,9.30769,2.315834
5,Cambodia,2080242,12.565679,104.990963
6,Canada,72160,56.130366,-106.346771
7,China,120930,35.86166,104.195397
8,Colombia,394914,4.570868,-74.297333
9,Ecuador,115656,-1.831239,-78.18340599999999
10,Egypt,13278208,26.820553,30.802498
11,Ethiopia,493798,9.145000000000001,40.489673
12,France,397500,46.227638,2.213749
13,Germany,455278,51.165691,10.451526
14,Hong Kong,3896386,22.3193039,114.1693611
15,Hungary,57591,47.162494,19.5033041
16,India,193340264,20.593684,78.96288
17,Indonesia,11510346,-0.789275,113.921327
18,Iran,1240672,32.427908,53.688046
19,Ireland,72490,53.1423672,-7.692053599999999
20,Japan,682695,36.204824,138.252924
21,Jordan,141642,30.585164,36.238414
22,Kenya,5444711,-0.023559,37.906193
23,Laos,863965,19.85627,102.495496
24,Lebanon,1381137,33.854721,35.862285
25,Malaysia,7805616,4.210484,101.975766
26,Mexico,251631,23.634501,-102.552784
27,Morocco,470300,31.791702,-7.092619999999999
28,Nepal,7842394,28.394857,84.12400799999999
29,Netherlands,5767851,52.132633,5.291265999999999
30,Nigeria,1391229,9.081999,8.675277
31,Oman,1533925,21.4735329,55.975413
32,Pakistan,5594622,30.375321,69.34511599999999
33,Panama,8052,8.537981,-80.782127
34,Paraguay,98088,-23.442503,-58.443832
35,Peru,310002,-9.189967,-75.015152
36,Philippines,5456271,12.879721,121.774017
37,Romania,196101,45.943161,24.96676
38,Russian Fed.,28500,43.6889158,-79.3911652
39,Saudi Arabia,345352,23.885942,45.079162
40,Singapore,4975063,1.352083,103.819836
41,Slovenia,51606,46.151241,14.995463
42,South Africa,961800,-30.559482,22.937506
43,South Korea,2753439,35.907757,127.766922
44,Spain,250716,40.46366700000001,-3.74922
45,Sri Lanka,1477015,7.873053999999999,80.77179699999999
46,Sudan,3036276,12.862807,30.217636
47,Syria,2317088,34.80207499999999,38.996815
48,Taiwan,2527356,23.69781,120.960515
49,Tanzania,155873,-6.369028,34.888822
50,Thailand,27003115,15.870032,100.992541
51,Tunisia,412510,33.886917,9.537499
52,Turkey,429574,38.963745,35.243322
53,USA,529602,37.09024,-95.712891
54,Uganda,616640,1.373333,32.290275
55,United Kingdom,531980,55.378051,-3.435973
56,Utd.Arab Emir.,3744946,23.424076,53.847818
57,Vietnam,13522609,14.058324,108.277199
58,Yemen,856954,15.552727,48.516388
